text,pengaksesan,transaksi,akun,cs,performa
untuk pengguna ovo berhati hati melakukan transaksi keuangan aplikasi ovo mengalami kerugian pengalaman melakukan transaksi ovo dana milik saldo berkurang notifikasi terkirim berhasil saldonya masuk dana transaksi ovo gagal melakukan transaksi,0.0,1.0,0.0,0.0,0.0
aplikasi ovo kesini jelas walet bagus hancur pengguna kirim uang akun dana aplikasi ovo terkirim aplikasi dana masuk saldo tanggal kejelasan gantung masa sulit uang segitu penting system perbaiki kebanyakan ngopi kerja,0.0,1.0,1.0,0.0,0.0
ayolah min tingkatkan apknya terutama bagian transfer kasihan penggunanya melakukan tf tulisannya gagal gagal terus contohnya melakukan tf gagal sungguh parah aplikasi,0.0,1.0,0.0,0.0,0.0
isi ulang pulsa masuk tercatat history lapor pusat bantuan tersambungnya giliran tersambung pelayanan memuaskan parah jadi ragu pakai ovo,0.0,1.0,0.0,0.0,0.0
gagal masuk akun ovo tiba tiba keluar aplikasi masuk katanya sandi salah ubah sandi gagal terus terus lapor untuk menyelsaikan masalah menu untuk melaporkan masalah,0.0,0.0,1.0,0.0,0.0
uninstal aplikasinya transfer kemanapun uang terpakai nyangkut aplikasinya diperbaiki udah berbulan bulan perubahan pindah aplikasi,0.0,1.0,0.0,0.0,0.0
beli pulsa masuk saldo kepotong custamer service lambat gak solusi berkali kali kontak by email hubungi cust service masalah gak selesai kapok no recomend,0.0,1.0,0.0,1.0,1.0
heh upgrade susah banget kamera bagus jernih fotonya blur kondisi ktp baik cacat susah banget transfer duitnya banget deseperate mencoba foto berkali,0.0,1.0,1.0,0.0,0.0
parah pelayanan ovo masalah tanggap penyelesaian lambat akun ovo merubah nomer handphone terpecah jadi akun isi top up akun nomer akun rubah menjadi top up masuk nomer akun ganti rubah nomer email untuk mengemblikan saldo top up tutup akun verifikasi deh seminggu jawaban selesai cs ribet,0.0,1.0,1.0,1.0,1.0
pertama kali langganan kasir alfamakok pilihan isi saldo aplikasi diteliti isi saldo alfamaada jadi bingung disana,0.0,1.0,0.0,0.0,0.0
pihak ovo mempersulit untuk transfer uang rekening bank masa jumat tanggal agustus tanggal agustus gak transfer via rekening bank transfer uang ovo masalah gak tulisan external error benar betulin masalah masa kalah aplikasi disitu transfer uangnya kendala diperbaikin,0.0,1.0,0.0,0.0,0.0
kasihan orang transfer top up pembayaran berhasil masuk uangnya termasuk pulsa merugikan orang kategori aplikasi penipuan beli pulsa pakai ovo pembayaran berhasil terpotong saldo pulsa masuk tiba history pembelian pulsa aplikasi rugi,0.0,1.0,0.0,0.0,0.0
buruk punya saldo ovo terus melakukan pembayaran aplikasinya kebuka alasan internet putus lancar dicoba update hapus data buruk penilaian kali diperbaiki,0.0,1.0,0.0,0.0,0.0
transfer upgrade premium gagal terus foto ektp jelas buram cahaya memantul hadehh berulangkali menunggu menit berulang kali dibantu dm instagram,0.0,1.0,1.0,0.0,0.0
insinyur ovo terhormat memperbaiki apl ovo seminggu transfer isi pulsa belanja pengguna ovo kecewa taaiikk apl ovo coba lihat youtube cara gagal gunakan,0.0,1.0,0.0,0.0,0.0
banget install approved premium eh dipakai tfr rekening terus chat balesnya benar tulis suruh kontak cs kak udaah berkali capekk menarik saldo terlanjur topup terus auto uninstall mengeluh,0.0,1.0,1.0,1.0,0.0
melakukan transaksi transfer bank bulan transaksi transfer sehari tadk transaksi balasan email terima melakukan transaksi transfer melewati batas kirim history transfer balasnny,0.0,1.0,0.0,1.0,0.0
cukup kecewa aplikasi gangguan proses transfer antarbank untuk tingkat kata maaf orang butuh persulit,0.0,1.0,0.0,0.0,0.0
transfer upgrade proses upgrade susah banget email kali jawaban clasic telpon call center pulsa habis ribu bangsaat,0.0,1.0,1.0,1.0,0.0
min perbaiki masa tf terus beli pulsa saldonya terpotong pulsanya masuk terus hubungi operator slow mutar pulsa habis solusi aplikasi payah transaksi kemarin telpon operator katanya melewati batas transaksi tetap jadi,0.0,1.0,0.0,1.0,0.0
transfer uangnya masuk rekening tujuan dilaporkan disuruh menunggu kerja kerja uangnya masuk rekening tujuan pengembalian ovo cash laporkan kembali menunggu uangnya dibutuhkan,0.0,1.0,0.0,0.0,0.0
pakai ovo masalah tim ovo cepat menanggapi alhamdulillah selesai masukan ovo program pay later jadi belanja enak gak perlu pakai aplikasi,0.0,0.0,0.0,0.0,1.0
kehilangan handphone nomor terdaftar ovo menghubungi customer service ovo dm instagram respon pelayanan baik terimakasih ovo pertahankan ya,0.0,0.0,0.0,1.0,0.0
aplikasinya menjengkelkan upgrade premium kondisi ktp kamera dan lain-lain memenuhi syarat gagal aplikasinya diperbaiki soalnya mentransfer saldo,0.0,1.0,1.0,0.0,0.0
kemarin malam beli pulsa nomor handphone biaya saldo ovo terpotong pulsa masuk notifikasi transaksi dicancel saldo ovo terpotong dikembalikan lapor pusat bantuan harap keluhan ditindaklanjuti saldo ovo dikembalikan,0.0,1.0,0.0,0.0,0.0
pakai ovo tahun awalnya lancar lancar top up pakai atm tidak bisa lihat youtube berkali kali tetap yerus tf uang katanya surup update ovo premium coba berkali kali katanya ktpnya birem macemlah malas pakai obo,0.0,1.0,1.0,0.0,0.0
banget foto ktp upgrade premium bagus jelas goyang pas foto dibuat buram aplikasinya pas hasil foto disuruh foto ulang terus cape menunggu menit,0.0,0.0,1.0,0.0,0.0
ulang security code disuruh ualng terus pas masukkan ulang kode coba ualng terus suruh menunggu menit tralau gila bayar cepat jadi menunggu gila,1.0,0.0,0.0,0.0,1.0
dear developer ovo pt visionet internasional pihak ovo bekerjasama developer bex mobil gabungkan developer puzzle permainan llc gem master wallet ovo dicantumkan untuk pembayaran kedua developer pembayarannya berulang kali ditunda informasinya bintang menunggu konfirmasi pihak ovo,0.0,1.0,0.0,0.0,0.0
isi pulsa tanggal tangal masuk saldo ovo kepotong bukti struk langsung hilang coba deh cek transaksi bukti struk tiba langsung menu utama ovo berbagus aplikasi memperburuk aplikasi,0.0,1.0,0.0,0.0,0.0
parah banget mencapai transfer juta transfer susah banget bank ovo pantesan rating turun aplikasi ovo jadi,0.0,1.0,0.0,0.0,0.0
parah aplikasi minggu beli isi pulsa pending alhasil dihari saldo ovo dikembalikan beli pulsa pending kapok beli pulsa ovo,0.0,1.0,0.0,0.0,0.0
kali mengisi pulsa token listrik kuota data ngakk kunjung mendapatkan bonus promo bonus tanggal augustus mengikuti update versi terbaru,0.0,1.0,0.0,0.0,0.0
aplikasi payah auto delete aplikasi uang tertahan urgent pengin dingunakan perkara termakan iming tf bank biayanya rp susah lebih baik bayar rp kapok kapok aplikasi panik pengalaman pribadi tetap pakai aplikasi silakan,0.0,1.0,0.0,0.0,0.0
aplikasi ovo maksudnya saldo digunakan trf rek bank gagal topup pulsa my telkomsel gagal kecewa aplikasi ovo kinerja menyebalkan sekian komen atas saldo ovo gunakan tetap perubahan,0.0,1.0,0.0,0.0,0.0
transfer cs lambat jam jam jawaban pengguna mengerti antrian kali keluhan susahnya meminta ampun,0.0,1.0,0.0,1.0,1.0
ambil biaya admin ambilkan top up terlanjur top up pas ambil admin tambah tambah berkualitas,0.0,1.0,0.0,0.0,0.0
punya akun ovo tiba tiba log out giliran masuk uninstall install ulang jaman pakai aplikasi parkir mall pakai aplikasi,0.0,0.0,1.0,0.0,0.0
ovo best soalnya tanggap kendala pelanggannya walo kendala penyelesaian tim terkait ovo tim kreatif tim profesional bidangnya urusan pulsa ribu membutuhkan waktu panjang terima kasih ovo sialan brengsek,0.0,1.0,0.0,0.0,0.0
pagi top up ovo eh pas transfer bank develop ragu aplikasi ovo bagusin masa transfer bank ovo betul kecewa,0.0,1.0,0.0,0.0,0.0
bberapa log akun statusnya premier kali log suruh update google play service terbaru update layanan google play service berkali tryout tetap masuk why ovo,0.0,0.0,1.0,0.0,0.0
sumpah kecewa banget teman tf dana ovo pas tf rek baca akun terblokir akun ovo premier memasukan pin benar hubungin call centre alesannya sibuk terus penjelasan gimana saldo ovo saldo lumayan,1.0,1.0,1.0,0.0,0.0
handphone hilang beserta kartu data nik no handphone foto lengkap ditanya saldo ovocash ovo point ingat handphone hilang lihat kartu hilang hadehh penyelesaian masalah membantu dipersulit tinggal samain nik ktp foto gojek bank bnc bank baca cepat tanggap kecewa ovo,0.0,1.0,1.0,0.0,1.0
terpaksa komen lewat play store kekecewaan sistem aplikasi ovo perihal pembelian paket data masuk biaya potong saldo ovo paket data masuk aplikasi ovo jadi jelek benar kecewa pandemi mengeluarkan biaya untuk aplikasi gak,0.0,1.0,0.0,0.0,0.0
aplikasi karyawan sopan kirim email arahkan telepon cs langsung telepon cs suruh kirim email jadi aplikasi pea karyawan sopan saran baik perlu pakai,0.0,0.0,0.0,1.0,0.0
transfer bank ovo email menunggu ikuti menunggu bulan aplikasi menjadi pengguna ovo pelayanan terbaik nggak aplikasi nggak untuk tim ovo perbaiki aplikasi ketimbang costumer mu hilang,0.0,1.0,0.0,1.0,0.0
aplikasi masuk akun ovo tidak bisa padalahal tokopedia saldonya menghubungi respon balik tutup,0.0,0.0,1.0,1.0,0.0
isi pulsa bwli pilsa pulsa masuk saldo teepotong niatan baik management ovo untuk mengembalikan saldo teeporong,0.0,1.0,0.0,0.0,0.0
bintang satu perbaiki masala transfer masa gagal perlu uang transfer masala gagal perlu transfer cepat,0.0,1.0,0.0,0.0,1.0
wedus wedus komenya jelek tranfser up grade foto ktp foto selfi wedeus aplikasi ribet banget aplikasi saldo ovo uangku transfer ribetnya meminta ampun lebih baik dihapus aplikasi play store orang emosi,0.0,1.0,1.0,0.0,0.0
ovo jelas kemarin transfer uang bank mudah admin gak niat untuk memelihara ovo tidak apa-apa lgian neg pakai ovo gangguan,0.0,1.0,0.0,0.0,0.0
berguna apknya daftar pakai primer smunya brjalan mulus transfer uang ovo bank alhmdulillah berhasil terkirim pemberitahuan segenap pengguna ovo tahu tata cara mengirim uang ovo bank mempelajari membuka internet untuk meninjau tatacara mentransfer uang ovo bank brikan jalan keluar mudah praktis jadi menjelek an aplikasi tinjau seblum komen,0.0,1.0,0.0,0.0,0.0
tertawa jadi minus top up saldo rekening kurangi promo cashback nurutin promo sesuai katanya suruh email cs eh disuruh menunggu menunggu jam ngerugiin aplikasi download,0.0,1.0,0.0,1.0,0.0
menunggu saldo masuk saudara masuk butuh uang perlambat sistem feedback alasan maaf uang hilang pt perusahaan makan uang haram mencuri saldo kirim sesuai nomor ovo terdafatar masuk,0.0,1.0,0.0,0.0,0.0
sumpah ovo gila masa pas telpon csnya bilang akun udah transfer kali anjing ng bilang menunggu bulan transfer ah sumpah bangsat,0.0,1.0,1.0,1.0,0.0
isi pulsa gagal komplain ovo baik twitter facebook aplikasi saldo masuk proses pulsa pulsa berhasil masuk terimakasih ovo depannya ditingkatkan pelanggan nyaman puas ovo,0.0,1.0,0.0,0.0,0.0
upgrade susah banget ktp bagus kedeteksi pas buram ambil foto selfi kepala potel gak recommended tingkatan,0.0,0.0,1.0,0.0,0.0
beli kuota im ribu gagal saldo kepotong terus beli kuota telkomsel ribu gagal saldo kepotong kuota masuk luar aplikasi mengurus ribet,0.0,1.0,0.0,0.0,0.0
aplikasi busuk enah ganti security kode masuk salah block akun perbaiki aplikasi sampah uang ketanam,1.0,1.0,1.0,0.0,0.0
kali beli pulsa gangguan saldo kepotong pulsa masuk pesanan proses sumpah terus bakal uninstall menggunakan ovo pindah dana tingkatkan aplikasi untuk pembayaran pembelian pulsa kayak pihak rugi costumer minggat ganti haluan sistem ovo kayak sekian terima,0.0,1.0,0.0,0.0,0.0
aplikasi komplen transaksi pulsa gagal disuruh menunggu jam eh sesuai jangka dana balik komlen ig blok asli sh amanah kerja,0.0,1.0,0.0,0.0,0.0
top up ovo biaya admin include total top up kayak pekerjaan niat top up ngepas jadi kurang terpaksa top up ovo kejebak biaya admin rp admin lebih baik udah tampilin biaya admin kayak tahu ngejebak mah malas,0.0,1.0,0.0,0.0,0.0
diperbaiki sistem operasinya aplikasi digunakan untuk transaksi kecewa pelanggan ovo urgensi gagal konfirmasi aplikasinya bantuannya,0.0,1.0,0.0,0.0,0.0
bangkai ovo deh menyesal naro saldo ovo duitnya ditransfer kebank butuh duit prosesnya kerja aplikasi bodoh duit anak kelaparan menunggu duit ditarik lambat kerjanya dilaporin habis pulsa kapok deh penjahat kelamin ovo,0.0,1.0,0.0,0.0,1.0
gila menyesal pakai ovo transfer ovo bank berhasil terus ovo premier jelek banget gila lebih baik pakai gopay lancar jaya aplikasi jelek rugi,0.0,1.0,0.0,0.0,0.0
sebelumnnya maaf terbawa emosi berkata kasar transaksi pembelian gagal alhamhamdulillah lancar tampa ribet empat bintang terima kasih salam sehat amin,0.0,1.0,0.0,0.0,0.0
beli reksadana total an terus beli syailendra totalnya turun cek turun jadi tahu mengerti tahu sistemnya respon bintang ubah,0.0,1.0,0.0,1.0,0.0
alhamdulillah upgrade ovo premier terima pihak ovo aplikasi membantu berbagai pembayaran usaha berjualan,0.0,1.0,1.0,0.0,0.0
mari ujian nasional istal aplikasi bareng-bareng bareng-bareng teman aplikasi uang ambil hapus lebih baik pakai aplikasi mudah digunakan,0.0,1.0,0.0,0.0,0.0
transfer rekening bank untuk pembayaran kpr diperbaiki sistemnya menyusahkan orang mengendapkan dana orang seenaknya,0.0,1.0,0.0,0.0,0.0
gila ovo kemari buruk isi pulsa masuk cash ovo point berkurang nasib nasib salah,0.0,1.0,0.0,0.0,0.0
kartu hilang masuk akun ovo veripikasi karma habis login jalan terbaik masuk akun ovo soalnya kartu hilang petunjuk,1.0,0.0,1.0,0.0,0.0
transfer ovo rekening meati update premier pakai transaksi belanja menyusahkan tolonglah berikan kemudahan bertransaksi memberikan jawaban member maaf bla bla bla lakukan tindakan keluhan member rating naik percaya ovo baik,0.0,1.0,0.0,0.0,0.0
perbaiki untuk meningkatkan kwalitas ovo transaksi scan barcode coba resto scan barcode ovo app perbarui tetap,0.0,1.0,0.0,0.0,0.0
waktu daftar ovo is akun premiere pakai aplikasi daftar ulang ya infonya terima kasih,0.0,0.0,1.0,0.0,0.0
aplikasi membantu points untuk bilang ovo gangguan silakan hubungi tim email langsung dilayani maju terus ovo,0.0,0.0,0.0,1.0,0.0
aplikasi tahunan menemani tidak ada kendala cs baik gercep ganti nomor handphone mati tetap cepat sat set tf dsb lancar,0.0,0.0,0.0,1.0,1.0
mengalami kendala fitur ovo pas login banget kirim link verifikasi login banget dikirm percepat login perlu pas login fitur verifikasi link ilangin ribet,1.0,0.0,1.0,0.0,0.0
aduh malas pakai aplikasi masa isi pulsa ribu keterangannya cancelled saldo tertarik pengguna aktif berjualan pulsa rugi cari aplikasi sajalag menguntungkan,0.0,1.0,0.0,0.0,0.0
aplikasi jadi fungsi meminta update terus update tetap bayar tagihan listrik email pusat bantuan penyelesaian suruh coba berkala,0.0,1.0,0.0,1.0,0.0
kecewa disitu tertulis jam menyalahkan balas chat cs beli pulsa malam masuk gagal pengembalian saldo ovo,0.0,1.0,0.0,1.0,0.0
aplikasi bangkrut pindah dana link pantaslah bangkrut ribet era modern masuk lambat,0.0,0.0,0.0,0.0,1.0
min biaya admin top up lewat bank tangguhkan akun ovonya min gak kayak biaya admin tanggung pihak konter terus rugi min,0.0,1.0,1.0,0.0,0.0
kali beli pulsa malam batalin terus saldo ovo kembali chat antri udah refreah udah log oin out kembali jam,0.0,1.0,0.0,0.0,0.0
turunkan mentok bintang pakai ovo walet loh walet gampang banget upgrade premier lengkap fungsi ovo loh upgrade premier,0.0,0.0,1.0,0.0,0.0
aplikasi payah beli pulsa transaksi dibatalkan saldo terpotong kontak cs katanya tunggu jam setelag masuk masuk kembali saldonya,0.0,1.0,0.0,1.0,0.0
aplikasi mempersulit haruskah verivikasi data meminta foto kali tinggal menggunakan sulit ya login sesuai no handphone email buruk,1.0,0.0,0.0,1.0,0.0
bayar listrik ovo notifikasinya berhasil mail pemberitahuan berhasil saldo ovo berkurang pas cek kembali aplikasi pln terbayar,0.0,1.0,0.0,0.0,0.0
benar benar menyesal pakai ovo kayak cara isi pulsa telkomsel tidak bisa transfer bank tidak bisa transfer ovo tidak bisa mati anjing aplikasi busuk,0.0,1.0,0.0,0.0,0.0
kecewa banget aplikasi jam uang gak refund beli pulsa listrik ribu nomer tokennya gak telepon call centernya gak solusinya suruh menunggu pulsa habis banget cara mencari duitnya kecewa parah aplikasi,0.0,1.0,0.0,0.0,0.0
suka ya mempermudah semenjak top up potong terus lumayan ya top up gede gak masalah deh ngepas jadi potong jadi kurang doang aplk deh gak admin,0.0,1.0,0.0,0.0,0.0
aplikasi sampah uang hilang pulsa masuk pakai aplikasi dipersulit beli pulsa dipersulit dsuruh aneh,0.0,1.0,0.0,0.0,0.0
gila jelas topup dipotong beres lebih baik pindah ewallet ewallet bonafit ino ovo,0.0,1.0,0.0,0.0,0.0
maaf uninstal upgrade premium data ril asli lengkap amankan data hapus data salah penggunaan data tanggung jawab terima kasih,0.0,0.0,1.0,0.0,0.0
woyy ovo alamlnya suka banget tf ovo batas mingguan transfer saldo mencukupi jadi malas pakai ovo,0.0,1.0,0.0,0.0,0.0
play service versi terbaru suruh update versi jadinya login ovo terjadi,1.0,0.0,0.0,0.0,0.0
parah masa transfer susah banget kadang kadang banyaknya transfer ovo payah kalah gopay gopay kendala,0.0,1.0,0.0,0.0,0.0
woy app sampah tf bank gagal terus chatt live dsruh menunggu gila kali bos orang uang dipakai jadi ketahan niat download app menyarankan lebih baik download dana mudah ovo aplikasi ampas,0.0,1.0,0.0,0.0,0.0
gara gara toko pedia menggiurkan diskon eh giliran pakai gak udah transfer ovo langsung transfer balik baca uang balek lihat postingan orang orang ternyata ovo gak bagus kacau,0.0,1.0,0.0,0.0,0.0
kecewa aplikasi uang ambil gara upgrade premier masa pandemi uang jadi berharga kejebak aplikasi ovo niat aplikasi pelayanan maximal,0.0,1.0,1.0,0.0,0.0
benar benar jalan aplikasi ovo mah penipuan transfer uang nyampai nyampai terus main permainan uangnya berhasil alasan jaringannya jelek gangguan apalah palsu banget,0.0,1.0,0.0,0.0,0.0
berkali kali verifikasi wajah susahnya meminta ampun uninstall ocr keren sangad untuk rw mengisikan manual dua cukup,0.0,0.0,1.0,0.0,0.0
didownload aplikasi bodoh jelas top up cepat diproses transfer gagal terus sayang uang didalam aplikasi bodoh,0.0,1.0,0.0,0.0,1.0
bintang terpecaya untuk kemari tambah canggih persulit untuk masuk akun ovo logout permintaan notif otp timbul coba berulang kali suspend waktu coba perbaiki pengguna ovo bertahun lho pertama,1.0,0.0,1.0,0.0,0.0
langsung bintang semoga ovo memberikan terbaik pelayanan cepat tepat real terimakasih ovo,0.0,0.0,0.0,0.0,1.0
aplikasi lambat systemya payah beli paket data ovo saldo berkurang paket data isi aplikasi sampah butuh urgent,0.0,1.0,0.0,0.0,1.0
top up terus belikan pulsa katanya proses eh pas dilihat saldo hilang pulsa weh rugi anak rantau tidak ada uang,0.0,1.0,0.0,0.0,0.0
barusan top up ribu sinyal data bagus wifi lancar perbaiki tunggu pusing orang,0.0,1.0,0.0,0.0,0.0
ovo muncul tulisan daftar no finansial terus berkali kali daftar no muncul terus mengganggu transaksi jadi kelamaan menunggu,0.0,1.0,0.0,0.0,0.0
kode scurity masukkan salah terus bantuannya top up jadi eror nomor pakai benar code vertikasi gagal terus bantuannya investasi kode masukan terus trusan gagal kodenya udah benar,1.0,1.0,0.0,0.0,0.0
membeli paket internet by menggunakan ovo tertulis transaksi dilakukan waktu detik detik transaksi dilakukan tahu permasalahannya aplikasi by ovo alami menggunakan atm aplikasi,0.0,1.0,0.0,0.0,0.0
semenjak update salah kode security terus benar kode security error aplikasi ovo min jadi nyaman bertransaksi lewat ovo,1.0,0.0,0.0,0.0,0.0
ovo top marktop kendala alami udah clear terima kasih ovo jaya,0.0,1.0,0.0,0.0,0.0
transfer ovo dipersulit sdngkn transfer bank tlong sistem diperbaiki pengguna ovo pindah aplikasi dana,0.0,1.0,0.0,0.0,0.0
update transfer uang rekening bank tulisannya gagal terus saldo cukup penjelasan,0.0,1.0,0.0,0.0,0.0
masak gak buram foto ktp akun aplikasi gak jelas fikir ktp terus gambar mulai buram biarpun asli tetap gak upgrat buta gak baca sejelas foto gak konek aduh ternyata kebih bodoh tolol,0.0,0.0,1.0,0.0,0.0
aplikasi woy orang urgent malam ambil duit alasan melebihi batas transfer orang tf gak gratis bayar knapa tahan ribet,0.0,1.0,0.0,0.0,0.0
mantap trf bank biaya murah sayang limit bulan juta tingkatkan limit bulanan terimakasih,0.0,1.0,0.0,0.0,0.0
kemarin beli pulsa lewat ovo pulsa masuk terus tiba gagal saldo kepotong pulsa masuk history kehapus,0.0,1.0,0.0,0.0,0.0
sayang banget ovo aplikasi bagus ringan handphone cepat biaya admin pakai dana tidak ada biaya admin isi saldo ovo order grab,0.0,1.0,0.0,0.0,1.0
maaf menarik saldo tik tok ovo masuk berpikir lihat hatus foto ktp wajah foto ktp wajah suruh foto ktp wajah ovo benar,0.0,1.0,1.0,0.0,0.0
upgrade susahnya luar binasa foto ktp jadi aneh aplikasi sebelah kali foto lansung jadi kemarin jadi kesalahnya ktp ptnya foto ktp jadi,0.0,0.0,1.0,0.0,0.0
payah transaksi gagal terus stres berenti transfer bank transfer pin benar salah stres dasar setan,1.0,1.0,0.0,0.0,0.0
perbaiki min akhir akhir susah transfer ovo bank coba beli hm,0.0,1.0,0.0,0.0,0.0
aplikasi idiot kadang membantu kadang isi pulsa beli token menghabiskan waktu sediakan aplikasi aplikasi lemah,0.0,1.0,0.0,0.0,0.0
halo min akun ovo keluar masuk sandi salah sandi benaar tolonglah bantu habis tf akun ovo,0.0,0.0,1.0,0.0,0.0
jam malam isi saldo bayar arisan orang transfer duit apai mempermudah menyusahkann,0.0,1.0,0.0,0.0,0.0
benar berengsek banget pakai ovo transfer bank masuk saldo kepotong woy orang transfer benar mendesak cepat masuk chat banget balas nye kapok,0.0,1.0,0.0,0.0,1.0
aplikasi cerita suruh top up top up promo giliran top up dibatasi walah membantu tanggung,0.0,1.0,0.0,0.0,0.0
